X,Y,ELEV,TIME,NORTH_VEL,EAST_VEL,DOWN_VEL,ROLL,PITCH,HEADING,ELEVATION
170681.781,273835.715,432.0771,312743.0059,-18.7465,23.5508,0.6692,-1.0575,0.0986,320.8094,432.0771
170674.629,273844.475,431.9349,312743.3806,-18.8474,23.3824,0.4817,-1.8209,0.318,320.2573,431.9349
170667.53,273853.177,432.0621,312743.7552,-18.8795,23.1978,0.3335,-2.5605,0.1634,319.1006,432.0621
170660.428,273861.818,432.2313,312744.1298,-18.9315,23.0239,0.3686,-3.6825,-0.2611,317.6803,432.2313
170653.319,273870.403,432.552,312744.5045,-19.1395,22.8242,0.2884,-4.8342,-0.5318,316.9776,432.552
170646.143,273878.898,432.8537,312744.8791,-19.3389,22.5488,0.2126,-6.0152,-0.4245,316.5426,432.8537
170638.842,273887.265,433.0017,312745.2537,-19.604,22.143,0.218,-7.6328,-0.3959,316.0147,433.0017
170631.407,273895.483,433.0606,312745.6284,-19.9765,21.7359,0.1089,-9.2578,-0.5941,315.459,433.0606
170623.822,273903.528,433.0768,312746.003,-20.4379,21.2676,-0.082,-10.2535,-0.941,314.9035,433.0768
170616.056,273911.379,433.0256,312746.3776,-20.9049,20.7243,-0.2243,-10.7659,-1.0817,314.1689,433.0256
170608.106,273919.024,432.9312,312746.7523,-21.3702,20.1717,-0.2497,-11.2175,-1.0047,312.9856,432.9312
170599.967,273926.446,432.8508,312747.1269,-21.93,19.558,-0.1694,-11.282,-0.9458,311.3219,432.8508
170591.649,273933.64,432.808,312747.5015,-22.3741,18.9565,-0.1313,-11.0982,-0.6824,309.7513,432.808
170583.168,273940.608,432.7528,312747.8762,-22.7563,18.3298,-0.1387,-10.6377,-0.673,308.1844,432.7528
170574.539,273947.357,432.6959,312748.2508,-23.1503,17.7686,-0.0739,-10.017,-0.7538,306.6703,432.6959
170565.768,273953.885,432.6931,312748.6254,-23.5391,17.2115,0.0473,-9.0402,-0.6982,304.8505,432.6931
170556.876,273960.204,432.7264,312749.0001,-23.8076,16.6603,0.0773,-8.3001,-0.5931,302.9374,432.7264
170547.897,273966.349,432.758,312749.3747,-24.003,16.2255,0.0411,-8.2757,-0.6333,301.5448,432.758
170538.825,273972.311,432.7601,312749.7493,-24.3214,15.7326,-0.0673,-8.5525,-1.012,300.2953,432.7601
170529.652,273978.089,432.7494,312750.124,-24.5987,15.2026,-0.066,-9.1262,-1.1668,299.4704,432.7494
170520.367,273983.659,432.7357,312750.4986,-24.8601,14.6008,0.0056,-9.5133,-1.1072,298.7813,432.7357
170510.967,273988.999,432.7238,312750.8732,-25.1706,14.0084,0.0075,-9.6273,-0.8595,297.6467,432.7238
170501.458,273994.107,432.7214,312751.2479,-25.48,13.3914,-0.0056,-9.2444,-0.6814,296.4201,432.7214
170491.85,273998.973,432.739,312751.6225,-25.7153,12.7357,0.0961,-8.5881,-0.8699,294.8773,432.739
170482.152,274003.61,432.8182,312751.9971,-25.927,12.1517,0.329,-8.446,-1.035,293.0784,432.8182
170472.368,274008.021,432.9586,312752.3718,-26.194,11.5518,0.4009,-8.3846,-1.1214,290.936,432.9586
170462.507,274012.21,433.1308,312752.7464,-26.384,10.9461,0.4528,-8.7079,-1.2333,289.0325,433.1308
170452.569,274016.171,433.3172,312753.121,-26.5662,10.3241,0.5291,-9.3684,-1.7562,287.3149,433.3172
170442.543,274019.891,433.5019,312753.4957,-26.8286,9.6642,0.5403,-10.0625,-2.3407,285.8721,433.5019
170432.415,274023.354,433.7033,312753.8703,-27.1595,8.9508,0.5631,-10.375,-2.6653,284.7852,433.7033
170422.177,274026.54,433.9386,312754.2449,-27.4258,8.1702,0.6332,-10.4809,-2.5509,283.8491,433.9386
170411.839,274029.438,434.1642,312754.6196,-27.656,7.4492,0.5832,-10.2958,-2.4886,282.8813,434.1642
170401.408,274032.062,434.3672,312754.9942,-27.9444,6.734,0.5035,-9.6484,-2.6575,281.8657,434.3672
170390.888,274034.426,434.5715,312755.3688,-28.1738,6.0415,0.5303,-8.7178,-2.5916,280.8295,434.5715
170380.293,274036.536,434.7973,312755.7435,-28.3133,5.3674,0.6438,-7.9126,-2.369,279.47,434.7973
170369.64,274038.412,435.0371,312756.1181,-28.4492,4.7993,0.7005,-7.2737,-2.1315,277.5202,435.0371
170358.941,274040.072,435.2895,312756.4927,-28.6005,4.226,0.6606,-6.9926,-2.2927,275.3075,435.2895
170348.202,274041.532,435.5451,312756.8674,-28.6851,3.6876,0.6873,-7.0851,-2.7118,273.1813,435.5451
170337.417,274042.797,435.8085,312757.242,-28.8149,3.2327,0.7267,-7.7352,-2.9768,271.5946,435.8085
170326.582,274043.857,436.0802,312757.6166,-28.9745,2.577,0.6966,-8.6559,-3.0248,270.6156,436.0802
170315.701,274044.676,436.3184,312757.9913,-29.0895,1.9023,0.52,-9.2681,-2.9092,270.0215,436.3184
170304.78,274045.226,436.5185,312758.3659,-29.157,1.1629,0.5494,-9.5847,-3.0274,269.5974,436.5185
170293.817,274045.486,436.7186,312758.7405,-29.2787,0.4018,0.5846,-9.1781,-3.1307,268.7455,436.7186
170282.816,274045.458,436.9413,312759.1152,-29.4144,-0.3899,0.6145,-8.9627,-3.2597,267.7984,436.9413
170271.779,274045.15,437.1971,312759.4898,-29.4839,-1.1046,0.7286,-8.5898,-3.2235,266.4527,437.1971
170260.71,274044.579,437.4925,312759.8644,-29.5485,-1.7656,0.8513,-8.6181,-2.8718,265.0933,437.4925
170249.625,274043.749,437.8096,312760.2391,-29.6011,-2.4868,0.8441,-8.828,-2.666,263.9334,437.8096
170238.536,274042.652,438.1406,312760.6137,-29.5871,-3.221,0.9038,-8.5241,-2.4398,262.4647,438.1406
170227.455,274041.286,438.519,312760.9883,-29.5366,-3.8959,1.1255,-8.4742,-2.5335,260.9634,438.519
170216.387,274039.662,438.9584,312761.363,-29.525,-4.5862,1.237,-8.0371,-2.7914,259.5168,438.9584
170205.323,274037.788,439.4495,312761.7376,-29.5634,-5.2128,1.3444,-7.6379,-2.9271,258.3881,439.4495
170194.266,274035.679,439.9873,312762.1122,-29.4916,-5.8605,1.4496,-7.0958,-2.7875,257.3129,439.9873
170183.227,274033.345,440.5382,312762.4869,-29.4314,-6.4131,1.4563,-6.8973,-2.4017,256.2273,440.5382
170172.212,274030.804,441.0823,312762.8615,-29.3823,-6.9829,1.404,-6.9709,-2.1922,255.0432,441.0823
170161.23,274028.057,441.6132,312763.2361,-29.2789,-7.5201,1.3706,-7.3765,-2.0846,253.9239,441.6132
170150.29,274025.092,442.1354,312763.6108,-29.1167,-8.1415,1.423,-8.4568,-2.4164,253.0424,442.1354
170139.396,274021.879,442.6575,312763.9854,-29.0197,-8.8456,1.4141,-9.506,-3.0242,252.1246,442.6575
170128.545,274018.394,443.1709,312764.36,-28.9433,-9.5822,1.3059,-9.7879,-3.3827,251.151,443.1709
170117.739,274014.624,443.6613,312764.7347,-28.7791,-10.3599,1.2882,-9.7385,-3.1974,250.1672,443.6613
170106.988,274010.575,444.1236,312765.1093,-28.6127,-11.0738,1.1765,-9.6674,-2.6651,248.9556,444.1236
170096.309,274006.255,444.5408,312765.4839,-28.4232,-11.824,1.0361,-9.5442,-2.6467,247.3604,444.5408
170085.713,274001.669,444.9179,312765.8586,-28.2039,-12.5139,0.9614,-9.4155,-3.1064,245.4106,444.9179
170075.191,273996.822,445.2849,312766.2332,-27.9932,-13.1886,1.0074,-9.8562,-3.5487,243.5092,445.2849
170064.74,273991.714,445.6635,312766.6078,-27.8287,-13.8743,1.0486,-9.8562,-3.5566,241.7404,445.6635
170054.367,273986.345,446.0396,312766.9825,-27.6105,-14.6109,0.916,-10.0084,-3.4008,240.6336,446.0396
170044.086,273980.713,446.3692,312767.3571,-27.3324,-15.3075,0.8361,-9.9835,-3.474,239.6859,446.3692
170033.898,273974.813,446.6896,312767.7317,-27.0699,-16.0276,0.9013,-10.6705,-3.6078,238.8399,446.6896
170023.825,273968.616,447.0434,312768.1063,-26.7734,-16.8762,1.0085,-11.2304,-4.0394,237.7061,447.0434
170013.873,273962.111,447.4481,312768.481,-26.4295,-17.7071,1.0981,-11.391,-4.3221,236.5229,447.4481
