X,Y,ELEVATION,TIME
2101077.652,1559781.353,306.7291,482358.0058
2101101.059,1559761.030,307.4925,482359.4348
2101128.625,1559761.799,307.6768,482362.6882
2101132.957,1559791.875,308.9858,482365.6063
2101112.367,1559816.753,309.7745,482367.1705
2101083.373,1559831.691,310.366,482368.3750
2101051.526,1559837.523,311.6774,482369.4708
2101021.335,1559846.424,314.0449,482370.6991
2101002.974,1559872.462,314.2177,482372.2875
2101013.407,1559900.375,312.062,482374.2656
2101043.757,1559902.574,312.2082,482376.9515
2101044.608,1559873.587,311.0633,482380.2951
2101013.781,1559865.511,310.5689,482383.5369
2100996.294,1559839.058,310.5411,482385.5240
2100978.530,1559813.767,311.3708,482387.3688
2100947.981,1559821.809,310.8527,482389.1468
2100923.954,1559843.903,310.2534,482390.9937
2100894.642,1559858.004,309.7059,482392.6586
2100861.929,1559859.127,309.4355,482393.9202
2100830.067,1559851.923,309.4336,482395.0235
2100799.852,1559839.241,309.8108,482395.9887
2100768.691,1559829.279,310.5217,482396.9554
2100737.250,1559819.962,310.7511,482397.9466
2100705.897,1559810.346,310.9837,482398.9407
2100674.185,1559802.237,311.276,482399.9234
2100641.512,1559803.011,311.4964,482400.8972
2100609.987,1559811.855,311.528,482401.8606
2100580.877,1559826.862,311.588,482402.8113
2100555.219,1559847.197,311.8819,482403.7776
2100533.565,1559871.800,312.0423,482404.7893
2100511.199,1559895.696,311.4624,482405.8512
2100487.541,1559918.326,310.8463,482406.8737
2100463.259,1559940.373,310.6657,482407.8954
2100439.096,1559962.558,310.7114,482408.9478
2100414.763,1559984.553,310.8548,482410.1135
2100390.698,1560006.830,310.6397,482411.3616
2100366.518,1560028.975,310.3265,482412.5692
2100342.355,1560051.156,310.18,482413.6393
2100317.842,1560072.943,310.3922,482414.6251
2100292.959,1560094.251,310.9063,482415.5839
2100267.656,1560115.011,311.5804,482416.5566
2100242.356,1560135.800,312.1825,482417.5505
2100217.287,1560156.887,312.7044,482418.5620
2100192.575,1560178.426,313.0809,482419.5785
2100167.915,1560200.026,313.4456,482420.5844
2100143.018,1560221.363,313.7499,482421.5847
2100118.093,1560242.673,314.02,482422.5821
2100093.312,1560264.157,314.2234,482423.5816
2100068.330,1560285.369,314.6585,482424.5813
2100043.248,1560306.386,315.3548,482425.5815
2100018.654,1560328.029,315.781,482426.5884
2099994.609,1560350.343,315.8032,482427.5967
2099970.110,1560372.121,316.1812,482428.5980
2099945.692,1560393.968,316.6737,482429.6002
2099921.178,1560415.719,317.0904,482430.6091
2099896.834,1560437.690,317.3499,482431.6179
