X,Y,ELEVATION,TIME
2101077.652,1559781.353,306.7291,482358.0058
2101043.757,1559902.574,312.2082,482376.9515
2100799.852,1559839.241,309.8108,482395.9887
2100511.199,1559895.696,311.4624,482405.8512
2100267.656,1560115.011,311.5804,482416.5566
2100018.654,1560328.029,315.781,482426.5884
2099772.342,1560543.82,320.6709,482436.7194
2099525.311,1560759.01,323.8969,482446.7341
2099246.922,1560907.695,326.9285,482456.7677
2099093.137,1560664.871,329.1094,482470.199
2099139.579,1560340.555,329.7569,482484.5273
2099197.363,1560018.235,334.6753,482498.6227
2099252.421,1559695.118,337.6154,482513.0271
2099309.038,1559372.196,339.8001,482527.3802
2099383.638,1559054.227,343.2978,482541.5967
2099508.441,1558751.013,342.6891,482555.7207
2099637.381,1558449.477,342.7772,482569.8671
2099775.486,1558152.702,343.5081,482584.3091
2099976.869,1557893.864,343.6338,482598.5026
2100176.658,1557634.306,345.9799,482612.6448
2100373.133,1557372.348,343.7217,482627.1674
2100573.609,1557112.907,345.0769,482641.3591
2100770.165,1556850.53,344.3686,482655.4691
2100969.438,1556590.486,344.5511,482669.7238
2101243.929,1556543.016,342.7278,482684.0628
2101176.972,1556827.287,343.7271,482699.218
2100975.797,1557085.649,344.879,482713.5319
2100779.922,1557348.283,343.8953,482727.9042
2100578.87,1557607.264,344.2711,482742.3308
2100377.396,1557865.809,344.2432,482756.7173
2100177.794,1558125.829,343.5554,482770.9479
2100007.702,1558404.445,343.8684,482785.3178
2099866.94,1558700.606,344.3533,482799.6329
2099733.919,1559000.234,343.0331,482813.9874
2099636.319,1559311.736,342.6343,482828.1799
2099577.915,1559634.361,339.9911,482842.6045
2099520.769,1559957.0,336.5452,482856.9252
2099463.72,1560279.74,333.7094,482871.3338
2099409.209,1560602.91,330.2732,482885.5644
2099343.182,1560924.152,329.5357,482899.8297
2099404.328,1561206.356,329.6824,482913.7055
2099653.759,1561097.832,331.5695,482927.8452
2099434.018,1560882.392,330.6616,482942.5638
2099498.987,1560565.439,328.4171,482956.6937
