Point Number,Northing,Easting,Elevation,Raw Desc
1,1375958.292,653104.0904,268.6219,UP
2,1376465.301,652966.63,273.829,UP
3,1376736.224,652892.938,276.927,UP
4,1376645.546,652460.27,290.397,UP
5,1376110.587,652768.965,281.839,UP
6,1376254.481,652731.773,279.798,UP
7,1376549.902,652653.558,282.654,UP
8,1376601.718,652573.515,288.907,UP
9,1376849.836,652480.534,286.855,UP
10,1376123.138,652988.778,270.03,UP
11,1376473.315,652897.026,277.363,UP
12,1376622.678,652619.442,283.7,UP
13,1376854.674,652490.782,286.46,UP
14,1375567.082,653531.695,263.33,UP
15,1375886.783,653334.661,268.558,UP
16,1375763.374,652877.444,279.736,UP
17,1375596.156,653864.196,260.261,UP
18,1376090.732,653565.941,259.013,UP
19,1376459.8,653165.101,261.805,UP
20,1376371.137,652831.767,277.67,UP
21,1375341.615,653189.703,271.706,UP
22,1375860.347,652972.391,274.426,UP
23,1376274.131,652779.068,279.692,UP
24,1376485.748,652728.069,280.601,UP
25,1376030.406,652810.527,280.379,UP
26,1375830.742,652906.91,277.657,UP
27,1375341.615,653189.703,271.706,UP
28,1375569.044,653821.974,259.702,UP
29,1376050.14,653520.76,260.298,UP
30,1376347.634,653141.784,264.632,UP
31,1376283.431,652890.697,276.534,UP
32,1375529.887,653757.527,261.213,UP
33,1375994.196,653468.084,261.998,UP
34,1376250.272,653126.616,265.993,UP
35,1376194.131,652913.836,275.283,UP
