1,410705.829,683678.292,355.6763,02;53;49 PM
2,410723.898,683665.063,367.7865,02;53;54 PM
3,410727.691,683690.295,380.0374,02;53;59 PM
4,410699.038,683688.334,389.875,02;54;04 PM
5,410674.154,683679.051,392.612,02;54;09 PM
6,410663.525,683704.52,393.1257,02;54;14 PM
7,410695.186,683710.105,391.3694,02;54;19 PM
8,410723.8,683716.416,388.3047,02;54;24 PM
9,410725.937,683692.456,388.2592,02;54;29 PM
10,410736.344,683640.033,388.1383,02;54;34 PM
11,410745.562,683590.403,388.2082,02;54;39 PM
12,410754.617,683540.941,388.3473,02;54;44 PM
13,410763.797,683491.756,388.4485,02;54;49 PM
14,410772.749,683442.417,388.4205,02;54;54 PM
15,410781.909,683393.049,388.6331,02;54;59 PM
16,410791.018,683343.788,388.6857,02;55;04 PM
17,410800.18,683294.558,388.8657,02;55;09 PM
18,410807.787,683249.893,389.2657,02;55;14 PM
19,410806.609,683253.452,388.2041,02;55;19 PM
20,410793.269,683244.2,388.3847,02;55;24 PM
21,410781.566,683263.976,388.3389,02;55;29 PM
22,410760.451,683293.487,388.3924,02;55;34 PM
23,410739.61,683321.72,388.2621,02;55;39 PM
24,410719.117,683349.839,388.3135,02;55;44 PM
25,410698.624,683377.999,388.2705,02;55;49 PM
26,410678.003,683406.453,388.2984,02;55;54 PM
27,410657.332,683434.746,388.2174,02;55;59 PM
28,410636.981,683462.785,388.0394,02;56;04 PM
29,410616.572,683491.081,387.9971,02;56;09 PM
30,410596.068,683519.221,388.1227,02;56;14 PM
31,410575.425,683547.397,388.3638,02;56;19 PM
32,410554.829,683575.71,388.4748,02;56;24 PM
33,410534.458,683604.117,388.5979,02;56;29 PM
34,410513.758,683632.634,388.5422,02;56;34 PM
35,410493.098,683660.908,388.4958,02;56;39 PM
36,410472.592,683689.069,388.3747,02;56;44 PM
37,410452.01,683717.521,388.3576,02;56;49 PM
38,410431.268,683745.819,388.4772,02;56;54 PM
39,410413.259,683771.105,388.7713,02;56;59 PM
40,410427.858,683779.083,388.8858,02;57;04 PM
41,410457.128,683800.844,388.1261,02;57;09 PM
42,410485.464,683821.595,387.7678,02;57;14 PM
43,410493.399,683821.077,388.3087,02;57;19 PM
44,410515.882,683792.503,388.1246,02;57;24 PM
45,410537.171,683763.439,388.0585,02;57;29 PM
46,410557.95,683734.838,388.0447,02;57;34 PM
47,410578.384,683706.351,387.7256,02;57;39 PM
48,410599.361,683678.029,387.5152,02;57;44 PM
49,410619.877,683649.802,387.5596,02;57;49 PM
50,410640.367,683621.56,387.4685,02;57;54 PM
51,410660.735,683593.083,387.3136,02;57;59 PM
52,410681.337,683564.721,387.4687,02;58;04 PM
53,410701.798,683536.655,387.5963,02;58;09 PM
54,410722.459,683508.308,387.9819,02;58;14 PM
55,410743.199,683479.787,388.0245,02;58;19 PM
56,410763.629,683451.251,388.254,02;58;24 PM
57,410784.147,683423.054,388.0244,02;58;29 PM
58,410804.828,683394.561,388.0304,02;58;34 PM
59,410825.671,683366.056,387.9531,02;58;39 PM
60,410845.999,683337.907,387.9632,02;58;44 PM
61,410866.636,683309.413,388.001,02;58;49 PM
62,410887.086,683281.256,388.2965,02;58;54 PM
63,410904.5,683285.702,388.6198,02;58;59 PM
64,410941.244,683292.895,388.4677,02;59;04 PM
65,410974.889,683301.236,388.1115,02;59;09 PM
66,410987.046,683305.57,388.2918,02;59;14 PM
67,410970.057,683330.255,388.685,02;59;19 PM
68,410948.935,683359.562,388.8969,02;59;24 PM
69,410928.509,683387.839,388.8604,02;59;29 PM
70,410908.036,683415.985,388.7327,02;59;34 PM
71,410887.472,683444.384,388.7188,02;59;39 PM
72,410866.764,683472.712,388.7263,02;59;44 PM
73,410846.245,683501.126,388.8333,02;59;49 PM
74,410825.657,683529.379,388.959,02;59;54 PM
75,410805.14,683557.485,388.9552,02;59;59 PM
76,410784.625,683585.708,389.1734,03;00;04 PM
77,410764.175,683614.128,389.3134,03;00;09 PM
78,410743.564,683642.428,389.2607,03;00;14 PM
79,410723.021,683670.682,389.3018,03;00;19 PM
80,410702.411,683698.926,389.3623,03;00;24 PM
81,410681.815,683727.235,389.4868,03;00;29 PM
82,410661.222,683755.76,389.6006,03;00;34 PM
83,410640.453,683784.066,389.5583,03;00;39 PM
84,410619.901,683812.123,389.6802,03;00;44 PM
85,410599.541,683840.555,389.4601,03;00;49 PM
86,410579.099,683868.847,389.5534,03;00;54 PM
87,410558.537,683896.811,389.3553,03;00;59 PM
88,410542.568,683919.285,389.5154,03;01;04 PM
89,410560.35,683924.804,389.4165,03;01;09 PM
90,410594.299,683939.407,389.352,03;01;14 PM
91,410626.668,683953.065,389.4312,03;01;19 PM
92,410638.742,683948.741,389.5868,03;01;24 PM
93,410661.601,683919.506,389.4949,03;01;29 PM
94,410682.904,683890.434,389.3033,03;01;34 PM
95,410703.534,683861.903,389.0838,03;01;39 PM
96,410724.143,683833.472,389.1898,03;01;44 PM
97,410744.976,683805.09,389.1338,03;01;49 PM
98,410765.505,683776.704,388.8446,03;01;54 PM
99,410786.145,683748.306,388.65,03;01;59 PM
100,410806.531,683720.039,388.6485,03;02;04 PM
101,410826.989,683691.458,388.947,03;02;09 PM
102,410847.702,683663.11,389.4581,03;02;14 PM
103,410868.417,683634.861,389.3455,03;02;19 PM
104,410888.874,683606.541,389.2666,03;02;24 PM
105,410909.335,683578.192,389.0862,03;02;29 PM
106,410930.106,683549.927,388.9362,03;02;34 PM
107,410950.578,683521.541,388.9734,03;02;39 PM
108,410970.953,683493.102,388.8943,03;02;44 PM
109,410991.691,683464.727,388.8661,03;02;49 PM
110,411012.314,683436.386,388.9902,03;02;54 PM
111,411032.929,683408.095,389.1738,03;02;59 PM
112,411053.287,683379.85,389.6292,03;03;04 PM
113,411073.889,683351.674,390.0269,03;03;09 PM
114,411094.472,683323.335,390.1274,03;03;14 PM
115,411114.861,683295.056,390.2225,03;03;19 PM
116,411135.414,683266.948,389.4495,03;03;24 PM
117,411155.935,683238.453,389.01,03;03;29 PM
118,411176.398,683210.134,388.7153,03;03;34 PM
119,411196.999,683181.99,388.8049,03;03;39 PM
120,411217.469,683153.571,388.7665,03;03;44 PM
121,411238.004,683125.407,389.077,03;03;49 PM
122,411258.518,683097.228,389.3885,03;03;54 PM
123,411279.064,683068.89,389.5482,03;03;59 PM
124,411299.61,683040.704,389.71,03;04;04 PM
125,411320.134,683012.36,389.7979,03;04;09 PM
126,411341.028,682983.904,390.0427,03;04;14 PM
127,411361.468,682955.575,389.9561,03;04;19 PM
128,411381.962,682927.196,389.3331,03;04;24 PM
129,411402.501,682899.025,389.035,03;04;29 PM
130,411423.002,682870.646,388.9331,03;04;34 PM
131,411443.664,682842.203,388.8426,03;04;39 PM
132,411464.205,682814.206,388.9475,03;04;44 PM
133,411471.922,682805.574,389.3671,03;04;49 PM
134,411497.851,682825.906,389.3376,03;04;54 PM
135,411525.712,682847.886,389.6654,03;04;59 PM
136,411546.059,682864.583,389.8106,03;05;04 PM
137,411531.647,682881.497,389.2941,03;05;09 PM
138,411509.904,682911.595,389.4642,03;05;14 PM
139,411489.81,682940.063,389.7205,03;05;19 PM
140,411469.192,682968.768,389.653,03;05;24 PM
141,411448.821,682996.739,389.4875,03;05;29 PM
142,411428.255,683025.109,389.2029,03;05;34 PM
143,411407.582,683053.123,389.4254,03;05;39 PM
144,411386.959,683081.512,389.5523,03;05;44 PM
145,411366.484,683109.827,389.6163,03;05;49 PM
146,411346.252,683138.131,389.3905,03;05;54 PM
147,411325.788,683166.378,389.295,03;05;59 PM
148,411305.383,683194.394,389.2209,03;06;04 PM
149,411284.931,683222.612,389.3914,03;06;09 PM
150,411264.322,683251.161,389.3672,03;06;14 PM
151,411243.771,683279.471,389.3697,03;06;19 PM
