X,Y,TIME,NORTH_VEL,EAST_VEL,DOWN_VEL,ROLL,PITCH,HEADING,ELEVATION
683678.292,410705.829,586429.0061,-4.7495,0.268,2.3599,6.7379,-0.9423,251.6989,355.6763
683665.063,410723.898,586434.0062,2.1579,5.2091,2.3956,15.5174,2.1861,354.8243,367.7865
683690.295,410727.691,586439.0063,4.0856,-4.4979,2.5071,15.2946,1.9782,112.2305,380.0374
683688.334,410699.038,586444.0064,-3.6233,-4.2035,1.3969,14.3329,1.1828,194.7398,389.875
683679.051,410674.154,586449.0065,0.9156,-5.5321,0.0424,-9.8181,-6.7299,157.7633,392.612
683704.52,410663.525,586454.0066,5.8929,3.9745,0.1319,-14.2718,-12.5028,37.8108,393.1257
683710.105,410695.186,586459.0067,1.7885,6.0179,-1.789,7.6512,-15.6889,14.8842,391.3694
683716.416,410723.8,586464.0068,-0.4889,0.269,-0.2419,-12.771,11.3816,328.3267,388.3047
683692.456,410725.937,586469.0069,-10.7287,2.6641,-0.006,-1.669,-11.6736,280.126,388.2592
683640.033,410736.344,586474.007,-10.1054,1.8356,-0.0259,-1.5043,-6.6745,279.8578,388.1383
683590.403,410745.562,586479.0071,-9.8628,1.7946,0.0578,-1.6874,-7.2624,280.6259,388.2082
683540.941,410754.617,586484.0072,-9.8762,1.7798,-0.0172,-2.1185,-7.2042,281.8513,388.3473
683491.756,410763.797,586489.0073,-9.8391,1.7369,0.0091,-3.0848,-7.0072,282.9129,388.4485
683442.417,410772.749,586494.0074,-9.886,1.7755,-0.0133,-2.7646,-6.8472,284.0873,388.4205
683393.049,410781.909,586499.0075,-9.9055,1.865,0.0176,-2.4976,-7.1833,284.353,388.6331
683343.788,410791.018,586504.0076,-9.8104,1.8457,0.0413,-2.8167,-6.8367,285.7606,388.6857
683294.558,410800.18,586509.0077,-9.9313,1.8049,0.0087,-3.1343,-6.9234,285.4431,388.8657
683249.893,410807.787,586514.0078,-2.8891,-0.066,-0.1213,-1.5654,36.4142,286.9245,389.2657
683253.452,410806.609,586519.0079,-0.9736,-0.0652,-0.0193,-5.1039,-3.518,255.784,388.2041
683244.2,410793.269,586524.008,0.5332,-0.8769,-0.1793,-14.9381,6.57,172.8359,388.3847
683263.976,410781.566,586529.0081,5.9793,-4.7661,-0.0631,-1.3097,-5.8937,128.6068,388.3389
683293.487,410760.451,586534.0082,5.6677,-4.127,-0.009,1.5585,-6.5801,126.3481,388.3924
683321.72,410739.61,586539.0083,5.6512,-4.1087,-0.0203,1.0053,-6.3416,125.4447,388.2621
683349.839,410719.117,586544.0084,5.6691,-4.0096,0.0316,0.7004,-6.217,125.1719,388.3135
683377.999,410698.624,586549.0085,5.7118,-4.0953,0.0072,0.0868,-6.4194,125.099,388.2705
683406.453,410678.003,586554.0086,5.6505,-4.1099,-0.0057,-0.1175,-7.2122,124.9855,388.2984
683434.746,410657.332,586559.0087,5.6829,-4.1063,-0.0226,0.4237,-6.577,125.0454,388.2174
683462.785,410636.981,586564.0088,5.5679,-4.0089,-0.0556,-0.1065,-6.6799,125.3463,388.0394
683491.081,410616.572,586569.0089,5.6747,-4.1244,-0.0007,0.2425,-6.7074,125.3232,387.9971
683519.221,410596.068,586574.009,5.6249,-4.1692,-0.0486,0.2756,-7.1675,125.6064,388.1227
683547.397,410575.425,586579.0091,5.7292,-4.1797,0.0392,0.2937,-6.6983,125.6692,388.3638
683575.71,410554.829,586584.0092,5.7183,-4.0699,0.0148,-0.3533,-6.9228,125.7068,388.4748
683604.117,410534.458,586589.0093,5.5928,-4.1583,0.0108,-0.4876,-7.1296,126.1421,388.5979
683632.634,410513.758,586594.0094,5.695,-4.1378,0.0038,0.1419,-6.4592,125.9486,388.5422
683660.908,410493.098,586599.0095,5.6364,-4.1154,-0.0568,-0.1382,-6.2801,126.1175,388.4958
683689.069,410472.592,586604.0096,5.6438,-4.1459,-0.0068,-0.2175,-6.2389,126.1548,388.3747
683717.521,410452.01,586609.0097,5.7172,-4.0765,0.0343,0.6517,-6.3142,126.0464,388.3576
683745.819,410431.268,586614.0098,5.6669,-4.0786,0.0334,-0.0602,-5.8279,125.657,388.4772
683771.105,410413.259,586619.0099,1.3883,-0.5123,-0.0312,-6.3695,19.8914,110.0251,388.7713
683779.083,410427.858,586624.0099,4.842,5.9591,-0.0873,0.2664,-7.3692,37.2338,388.8858
683800.844,410457.128,586629.01,4.1144,5.6611,-0.136,0.7962,-5.5823,35.6063,388.1261
683821.595,410485.464,586634.0101,4.0882,5.674,-0.0583,0.6268,-2.379,35.3798,387.7678
683821.077,410493.399,586639.0102,-3.9205,2.3343,0.1655,4.0623,-21.3515,308.0975,388.3087
683792.503,410515.882,586644.0103,-5.9579,4.2819,-0.0408,-1.2971,-4.8285,305.9042,388.1246
683763.439,410537.171,586649.0104,-5.7571,4.2439,0.0067,-0.6929,-5.1193,306.8803,388.0585
683734.838,410557.95,586654.0105,-5.6898,4.0642,0.0505,-0.9858,-5.7067,307.591,388.0447
683706.351,410578.384,586659.0106,-5.6601,4.0967,-0.0434,0.7236,-5.3747,308.1388,387.7256
683678.029,410599.361,586664.0107,-5.8125,4.006,0.0263,-0.6034,-4.5269,308.2578,387.5152
683649.802,410619.877,586669.0108,-5.6636,4.0582,-0.0105,-0.8343,-5.0162,308.9262,387.5596
683621.56,410640.367,586674.0109,-5.6248,4.0802,-0.0347,-0.5731,-5.3659,310.049,387.4685
683593.083,410660.735,586679.011,-5.6274,4.0797,0.0267,0.2292,-5.4303,310.4105,387.3136
683564.721,410681.337,586684.0111,-5.6744,4.0637,0.0331,-0.0452,-5.0975,310.5094,387.4687
683536.655,410701.798,586689.0112,-5.6344,4.0801,0.0377,-0.5267,-6.1635,310.3359,387.5963
683508.308,410722.459,586694.0113,-5.5995,4.2475,0.0775,-1.0315,-4.8512,310.2543,387.9819
683479.787,410743.199,586699.0114,-5.7858,4.0123,0.0269,-1.7976,-4.6964,309.9012,388.0245
683451.251,410763.629,586704.0114,-5.6335,4.0949,-0.0293,-0.9391,-4.6899,310.6931,388.254
683423.054,410784.147,586709.0115,-5.6558,4.187,-0.0153,-0.9846,-5.2434,310.6565,388.0244
683394.561,410804.828,586714.0116,-5.722,4.1814,-0.0209,-0.9008,-4.4509,310.3231,388.0304
683366.056,410825.671,586719.0117,-5.6994,4.0823,0.0018,-1.9805,-4.0595,310.3823,387.9531
683337.907,410845.999,586724.0118,-5.625,4.103,0.0057,-1.3491,-4.7352,310.0917,387.9632
683309.413,410866.636,586729.0119,-5.7415,4.092,0.0086,-0.9407,-3.8548,310.2987,388.001
683281.256,410887.086,586734.012,-4.8671,3.5174,0.1488,-1.1737,7.2446,310.2522,388.2965
683285.702,410904.5,586739.0121,1.8513,7.7667,-0.075,-4.6028,-8.0416,15.4,388.6198
683292.895,410941.244,586744.0122,1.7866,6.7405,-0.0701,1.1159,-4.6672,13.9913,388.4677
683301.236,410974.889,586749.0123,1.6788,6.7464,-0.0372,1.5782,-5.4989,12.9103,388.1115
683305.57,410987.046,586754.0124,0.4736,-1.7503,0.1808,-2.9455,-5.4029,120.6675,388.2918
683330.255,410970.057,586759.0124,6.1648,-4.4624,0.0371,-0.0171,-5.6392,124.9818,388.685
683359.562,410948.935,586764.0125,5.6707,-4.1129,0.0239,-0.4805,-6.0805,124.3276,388.8969
683387.839,410928.509,586769.0126,5.6564,-4.0738,-0.0206,-0.375,-6.3038,124.18,388.8604
683415.985,410908.036,586774.0127,5.6355,-4.0524,-0.0116,-1.1228,-6.6549,123.4145,388.7327
683444.384,410887.472,586779.0128,5.6438,-4.1492,0.0081,-0.0413,-6.5797,124.0774,388.7188
683472.712,410866.764,586784.0129,5.6634,-4.1566,-0.0278,-0.01,-6.2356,123.6671,388.7263
683501.126,410846.245,586789.013,5.7354,-4.0686,0.065,-0.7037,-6.2069,123.6827,388.8333
683529.379,410825.657,586794.0131,5.5103,-4.1847,-0.0132,-0.1883,-6.4614,123.7178,388.959
683557.485,410805.14,586799.0131,5.6968,-4.0627,0.0284,-0.2261,-6.6032,123.4388,388.9552
683585.708,410784.625,586804.0132,5.6559,-4.0851,0.0274,-0.8789,-7.1598,123.4027,389.1734
683614.128,410764.175,586809.0133,5.7524,-4.0249,0.0701,-0.744,-6.9894,123.4806,389.3134
683642.428,410743.564,586814.0134,5.6838,-4.1015,0.0086,-0.9614,-7.1239,123.4832,389.2607
683670.682,410723.021,586819.0135,5.6505,-4.1626,0.0151,-0.5394,-7.4558,123.8345,389.3018
683698.926,410702.411,586824.0136,5.6921,-4.031,0.0464,-1.5117,-7.2417,123.8174,389.3623
683727.235,410681.815,586829.0137,5.6804,-4.0946,0.0572,-0.9332,-6.8273,123.7189,389.4868
683755.76,410661.222,586834.0138,5.6791,-4.1572,-0.016,-0.5167,-6.7749,124.6052,389.6006
683784.066,410640.453,586839.0138,5.6271,-4.1678,-0.0073,-0.4493,-7.1348,123.9737,389.5583
683812.123,410619.901,586844.0139,5.6633,-4.0708,-0.0053,-1.7633,-6.9132,123.1746,389.6802
683840.555,410599.541,586849.014,5.7111,-4.0332,-0.0192,-1.3576,-6.6523,124.4316,389.4601
683868.847,410579.099,586854.0141,5.5881,-4.0468,-0.0113,-0.9262,-7.3439,124.633,389.5534
683896.811,410558.537,586859.0142,5.6417,-4.011,-0.0245,-1.711,-8.0329,123.9505,389.3553
683919.285,410542.568,586864.0143,0.1504,0.3687,-0.1007,-8.8756,3.3735,90.3752,389.5154
683924.804,410560.35,586869.0144,3.3229,7.1342,-0.0303,2.2448,-8.2786,24.175,389.4165
683939.407,410594.299,586874.0144,2.781,6.4395,-0.0578,3.9359,-5.7298,20.9658,389.352
683953.065,410626.668,586879.0145,2.6652,6.5238,-0.0388,1.8998,-6.6604,20.2791,389.4312
683948.741,410638.742,586884.0146,-5.0956,3.0686,-0.0269,6.8372,-20.3018,304.8564,389.5868
683919.506,410661.601,586889.0147,-5.9547,4.358,-0.0246,0.0929,-4.5147,305.5728,389.4949
683890.434,410682.904,586894.0148,-5.7509,4.1784,-0.0051,-0.7061,-4.1402,305.7805,389.3033
683861.903,410703.534,586899.0149,-5.6288,4.1275,-0.0633,1.0472,-3.9104,307.5646,389.0838
683833.472,410724.143,586904.0149,-5.7416,4.2101,0.0066,0.8298,-4.9122,307.3613,389.1898
683805.09,410744.976,586909.015,-5.6901,4.098,-0.053,-0.3659,-3.8148,307.636,389.1338
683776.704,410765.505,586914.0151,-5.7319,4.0086,-0.0601,-0.0071,-3.4423,308.2016,388.8446
683748.306,410786.145,586919.0152,-5.7182,4.1718,-0.0494,-1.5794,-3.0544,308.7455,388.65
683720.039,410806.531,586924.0153,-5.6472,4.1818,0.0114,-1.4546,-3.8394,309.0615,388.6485
683691.458,410826.989,586929.0154,-5.6294,4.1166,0.0998,0.1085,-3.2078,309.2805,388.947
683663.11,410847.702,586934.0154,-5.6805,4.0989,-0.0442,0.2426,-2.9312,309.0738,389.4581
683634.861,410868.417,586939.0155,-5.5999,4.1166,-0.0346,-0.5605,-3.1504,308.9984,389.3455
683606.541,410888.874,586944.0156,-5.6818,4.0841,-0.0196,-0.0455,-2.882,309.3029,389.2666
683578.192,410909.335,586949.0157,-5.6572,4.0835,-0.0448,0.5888,-2.8425,308.9602,389.0862
