1,968495.58,601558.34,546.554,10;42;52 AM
2,968611.01,603441.17,565.86,10;43;17 AM
3,970307.37,602355.47,483.48,10;43;42 AM
4,971821.67,601918.66,377.513,10;44;07 AM
5,972059.61,601912.28,356.69,10;44;32 AM
6,972064.61,601913.0,354.138,10;44;57 AM
7,972064.6,601913.01,354.181,10;45;22 AM
8,972064.58,601913.01,354.156,10;45;47 AM
9,972064.58,601913.02,354.074,10;46;12 AM
10,972064.55,601913.03,353.942,10;46;37 AM
11,972064.62,601913.04,353.988,10;47;02 AM
12,972064.58,601913.02,354.03,10;47;27 AM
13,972064.55,601913.05,353.897,10;47;52 AM
14,972064.54,601913.02,353.993,10;48;17 AM
15,972064.56,601913.0,354.084,10;48;42 AM
16,972064.6,601913.02,353.979,10;49;07 AM
17,972064.63,601913.01,353.873,10;49;32 AM
18,972064.6,601913.0,354.087,10;49;57 AM
19,972064.55,601913.02,354.063,10;50;22 AM
20,972064.67,601913.02,353.853,10;50;47 AM
21,972064.64,601912.98,354.081,10;51;12 AM
22,972064.6,601912.98,354.047,10;51;37 AM
23,972064.63,601913.0,354.124,10;52;02 AM
24,972064.6,601912.96,354.078,10;52;27 AM
25,972064.6,601912.95,354.086,10;52;52 AM
26,972064.63,601912.97,353.943,10;53;17 AM
27,972064.7,601913.02,354.162,10;53;42 AM
28,972064.64,601912.96,354.061,10;54;07 AM
29,972064.63,601912.95,354.316,10;54;32 AM
30,972064.62,601912.97,354.246,10;54;57 AM
31,972064.63,601913.02,354.113,10;55;22 AM
32,972064.72,601913.04,354.1,10;55;47 AM
33,972064.75,601913.05,354.194,10;56;12 AM
34,972064.62,601913.02,353.885,10;56;37 AM
35,972064.75,601913.08,353.856,10;57;02 AM
36,972064.62,601913.0,353.903,10;57;27 AM
37,972064.58,601912.97,354.1,10;57;52 AM
38,972064.6,601912.97,354.136,10;58;17 AM
39,972064.61,601913.01,354.092,10;58;42 AM
40,972064.63,601912.99,354.396,10;59;07 AM
41,972064.59,601913.06,353.827,10;59;32 AM
42,972064.55,601913.09,353.695,10;59;56 AM
43,972064.59,601913.08,353.756,11;00;21 AM
44,972064.58,601913.12,353.813,11;00;46 AM
45,972064.64,601913.11,353.82,11;01;11 AM
46,972064.59,601913.06,354.008,11;01;36 AM
47,972064.57,601913.14,353.983,11;02;01 AM
48,972064.6,601913.12,354.015,11;02;26 AM
49,972064.61,601913.08,354.105,11;02;51 AM
50,972064.59,601913.07,354.049,11;03;16 AM
51,972064.61,601913.15,354.033,11;03;41 AM
52,972064.59,601913.14,353.926,11;04;06 AM
53,972064.61,601913.15,353.933,11;04;31 AM
54,972064.58,601913.11,353.892,11;04;56 AM
55,972064.61,601913.14,354.013,11;05;21 AM
56,972064.59,601913.04,353.978,11;05;46 AM
57,972064.61,601913.12,353.986,11;06;11 AM
58,972132.93,601931.84,357.869,11;06;36 AM
59,972183.1,601949.6,361.166,11;07;01 AM
60,972202.05,601954.16,361.016,11;07;26 AM
61,972206.98,602440.63,379.083,11;07;51 AM
62,970483.26,603647.84,535.27,11;08;16 AM
63,967623.48,603503.92,742.236,11;08;41 AM
64,965160.13,602224.32,979.55,11;09;06 AM
65,962624.63,600894.79,1092.403,11;09;31 AM
66,960025.9,599387.82,1113.031,11;09;56 AM
67,957410.74,598076.97,1089.126,11;10;21 AM
68,954973.59,596461.3,989.407,11;10;46 AM
69,952670.78,594843.38,924.38,11;11;11 AM
70,950369.3,593350.63,949.839,11;11;36 AM
71,948145.11,591847.19,907.704,11;12;01 AM
72,946228.03,590385.76,967.842,11;12;26 AM
73,945801.93,588571.18,976.703,11;12;51 AM
74,945803.27,589759.61,951.881,11;13;16 AM
75,945661.8,591452.48,912.433,11;13;41 AM
76,945995.64,589976.81,886.032,11;14;06 AM
77,944151.04,588468.3,950.494,11;14;31 AM
78,942412.38,586576.27,945.547,11;14;56 AM
79,940690.51,584548.58,948.297,11;15;21 AM
80,939159.96,582798.32,931.242,11;15;46 AM
81,937715.76,581061.41,900.667,11;16;11 AM
82,936380.21,579320.54,916.268,11;16;35 AM
83,935068.86,577661.1,949.184,11;17;00 AM
84,933812.79,576110.94,909.701,11;17;25 AM
85,932449.0,574655.85,973.212,11;17;50 AM
86,930337.92,573558.76,1033.759,11;18;15 AM
87,931302.86,572455.35,1019.286,11;18;40 AM
88,932770.43,573897.55,947.579,11;19;05 AM
89,933961.3,575709.05,960.965,11;19;30 AM
90,935568.42,577585.92,907.178,11;19;55 AM
91,937817.28,576946.2,949.296,11;20;20 AM
92,936716.64,575075.64,865.483,11;20;45 AM
93,934854.02,575935.74,841.523,11;21;10 AM
94,932823.74,576568.5,994.149,11;21;35 AM
95,931391.66,578185.99,1192.483,11;22;00 AM
96,933897.18,579258.97,1130.182,11;22;25 AM
97,936932.72,578460.67,1021.254,11;22;50 AM
98,937415.03,576996.4,887.547,11;23;15 AM
99,935473.22,577066.16,883.221,11;23;40 AM
100,933506.57,576691.09,915.171,11;24;05 AM
101,931411.79,576440.57,1031.812,11;24;30 AM
102,929251.72,576270.24,1025.598,11;24;55 AM
103,927018.36,576070.82,1100.095,11;25;20 AM
104,924997.44,575881.32,1185.82,11;25;45 AM
105,922821.52,575679.63,1155.789,11;26;10 AM
106,920796.49,575199.09,1147.501,11;26;35 AM
107,918733.28,574785.79,1130.33,11;27;00 AM
108,916333.61,575224.54,1182.564,11;27;25 AM
109,914595.61,574871.63,1209.71,11;27;50 AM
110,916036.55,573916.18,1123.688,11;28;15 AM
111,918091.67,574138.31,1271.69,11;28;40 AM
112,920409.68,574767.93,1314.036,11;29;05 AM
113,922635.36,575248.13,1144.35,11;29;30 AM
114,924852.01,575507.09,1140.443,11;29;55 AM
115,927054.87,575696.28,1160.33,11;30;20 AM
116,929324.17,575893.86,1074.677,11;30;45 AM
117,931550.56,576152.61,971.182,11;31;10 AM
118,933872.22,576385.48,1069.504,11;31;35 AM
119,936492.04,576991.74,1012.293,11;32;00 AM
