X,Y,TIME,NORTH_VEL,EAST_VEL,DOWN_VEL,ROLL,PITCH,HEADING,ELEVATION
600595.6,969116.52,225748.0094,2.3098,-2.0347,0.8792,-1.6581,0.1588,143.2147,428.545
600658.43,969068.07,225753.0046,5.7174,-3.8898,1.7199,-1.7351,-2.0201,123.9194,450.316
600786.45,968979.49,225757.9997,10.0846,-6.8225,0.6675,-3.0733,-3.6735,121.4339,474.78
600993.46,968852.76,225762.9948,14.4269,-9.188,2.0392,0.0255,-2.1015,121.1061,497.579
601256.61,968684.17,225767.9899,17.1713,-11.5527,1.7752,0.8451,-1.0522,124.545,530.13
601558.66,968495.39,225772.985,19.7434,-11.1625,0.9598,-2.0591,-0.6374,121.7797,546.57
601907.4,968306.18,225777.9801,22.9331,-11.5167,1.4498,-2.4355,-1.455,118.4495,557.803
602311.87,968145.39,225782.9752,26.371,-7.001,0.6788,-8.2306,0.4039,106.6491,569.186
602759.09,968109.96,225787.9703,27.349,3.6125,0.8731,-13.991,0.1423,77.8325,574.408
603166.04,968281.85,225792.9654,21.4015,16.2875,-0.5367,-13.151,1.7142,53.8642,579.003
603441.35,968611.39,225797.9605,11.0841,23.0057,-0.9799,-15.8793,0.6348,17.6669,565.844
603488.67,969016.9,225802.9556,-5.1285,25.1837,-0.9497,-18.9411,-0.9202,345.4805,553.899
603276.74,969385.27,225807.9507,-19.1804,19.3225,-1.4392,-15.6218,-1.4376,313.1792,538.487
602919.03,969653.57,225812.9458,-22.1417,15.9751,-1.2117,2.2461,0.5898,309.112,516.779
602593.37,969949.25,225817.941,-17.0558,20.4587,-0.9448,7.0913,0.0686,323.8823,501.95
602355.28,970307.74,225822.9361,-11.7932,22.7425,-1.2091,4.7777,2.5157,338.1004,483.46
602186.69,970673.52,225827.9312,-9.0447,21.6779,-1.765,0.0183,3.5624,341.5607,449.794
602045.49,971010.12,225832.9263,-8.0696,19.6031,-1.7543,-0.1212,2.8983,340.6311,420.901
601938.54,971321.46,225837.9214,-3.3118,18.6646,-1.1162,9.4055,2.4107,357.6311,396.662
601926.88,971607.27,225842.9165,0.0293,15.3941,-0.4327,-1.4113,7.3648,356.0459,383.962
601918.65,971821.84,225847.9116,-1.0516,10.6321,-0.1751,-3.9752,11.3554,350.4912,377.51
601906.38,971948.75,225852.9067,-0.1165,5.3191,-0.3711,0.6018,6.8612,6.2223,367.267
601909.08,972011.82,225857.9018,-0.3569,2.6667,-0.0925,-1.1776,5.3746,16.4305,364.748
601910.22,972041.52,225862.8969,0.3946,1.0229,-0.0467,-0.5774,5.5705,21.6892,362.221
601912.64,972053.33,225867.892,0.0797,0.5015,-0.3342,-2.1304,5.2046,18.3175,359.76
601912.27,972059.61,225872.8871,-0.0144,0.4029,-0.1801,-1.2589,3.2109,16.5946,356.687
601912.44,972064.08,225877.8822,0.1524,0.1551,-0.2183,-0.5084,1.1413,15.5034,354.743
601912.97,972064.59,225882.8773,0.0025,-0.0035,0.0039,0.4524,-0.752,17.7407,354.138
601912.99,972064.6,225887.8724,-0.045,-0.0086,-0.0092,0.4306,-0.4961,17.7807,354.141
601913.0,972064.61,225892.8675,-0.0082,0.0067,-0.0162,0.4611,-0.6593,17.768,354.142
601913.0,972064.61,225897.8626,-0.0442,0.025,-0.0282,0.4621,-0.559,17.7771,354.138
601913.0,972064.61,225902.8577,0.0237,0.0212,-0.0002,0.4373,-0.7254,17.7905,354.163
601913.0,972064.61,225907.8529,-0.0244,-0.0511,0.0235,0.4647,-0.7143,17.7786,354.168
601913.01,972064.6,225912.848,-0.0029,0.021,-0.0347,0.3996,-0.7022,17.818,354.163
601913.01,972064.6,225917.8431,0.0045,0.0003,0.02,0.4259,-0.7303,17.8065,354.175
601913.01,972064.6,225922.8382,-0.0018,-0.0056,0.0007,0.4885,-0.7819,17.7934,354.181
601913.01,972064.59,225927.8333,-0.0053,0.014,-0.0187,0.4273,-0.7172,17.8046,354.168
601913.01,972064.59,225932.8284,-0.0064,0.0089,-0.0247,0.4422,-0.7385,17.8053,354.17
601913.0,972064.59,225937.8235,0.0041,-0.0043,-0.0155,0.4618,-0.7565,17.8004,354.163
601912.99,972064.59,225942.8186,-0.0118,-0.0094,0.0165,0.4531,-0.7417,17.7952,354.173
601913.01,972064.58,225947.8137,0.0036,-0.0052,-0.0028,0.4226,-0.7688,17.8001,354.156
601913.04,972064.57,225952.8088,-0.0086,-0.0155,0.0249,0.4576,-0.7486,17.794,354.114
601913.02,972064.56,225957.8039,-0.0057,-0.0043,-0.017,0.4102,-0.7391,17.8053,354.119
601913.02,972064.58,225962.7991,-0.0105,0.0007,0.0051,0.4674,-0.7714,17.7954,354.124
601913.03,972064.58,225967.7942,0.0041,-0.0139,0.008,0.4479,-0.7486,17.804,354.075
601913.02,972064.58,225972.7893,-0.0043,-0.0036,0.0118,0.4711,-0.8043,17.7954,354.074
601913.0,972064.58,225977.7844,-0.0036,-0.0111,0.0026,0.4383,-0.7554,17.8036,354.08
601913.02,972064.57,225982.7795,0.0039,0.0014,0.009,0.4612,-0.7979,17.8015,354.028
601913.08,972064.57,225987.7746,0.0007,-0.0043,-0.0053,0.4423,-0.7656,17.8134,353.952
601913.02,972064.57,225992.7697,0.0076,0.0034,-0.0003,0.4527,-0.763,17.7988,353.969
601913.03,972064.55,225997.7648,0.0033,-0.0066,-0.0052,0.4566,-0.7849,17.8069,353.942
601913.04,972064.58,226002.7599,0.0059,-0.007,-0.0043,0.4261,-0.7715,17.8089,353.947
601913.02,972064.58,226007.755,-0.0018,-0.0082,-0.0076,0.4412,-0.7719,17.7986,353.979
601913.03,972064.6,226012.7501,0.0117,0.0052,-0.0147,0.4584,-0.7732,17.805,353.964
601913.03,972064.61,226017.7452,0.0036,0.0014,0.0035,0.4348,-0.7704,17.8035,353.962
601913.04,972064.62,226022.7403,0.0048,0.0027,-0.004,0.4807,-0.7662,17.8118,353.988
601913.03,972064.59,226027.7354,-0.0076,-0.002,-0.0131,0.4457,-0.7476,17.8096,353.965
601913.05,972064.59,226032.7305,0.0042,-0.0063,0.0029,0.4329,-0.7383,17.8064,353.992
601913.02,972064.6,226037.7256,0.0029,0.0045,-0.0062,0.4518,-0.7465,17.8066,354.032
601913.04,972064.6,226042.7208,0.0065,-0.0034,-0.0048,0.4399,-0.75,17.8082,354.011
601913.02,972064.58,226047.7159,-0.0107,0.0029,-0.002,0.4332,-0.7508,17.8066,354.03
601913.0,972064.56,226052.711,0.0021,-0.006,-0.002,0.439,-0.7506,17.8147,354.021
601913.01,972064.56,226057.7061,-0.0013,-0.0033,-0.0022,0.4621,-0.7417,17.8146,353.998
601913.02,972064.54,226062.7012,0.0023,0.0027,-0.0049,0.4025,-0.7279,17.8248,353.963
601913.04,972064.54,226067.6963,0.0045,-0.0002,-0.0074,0.3878,-0.7244,17.8282,353.926
601913.05,972064.55,226072.6914,0.0033,-0.0014,-0.0032,0.382,-0.7212,17.8297,353.897
601913.0,972064.52,226077.6865,0.0019,-0.0012,-0.0011,0.3867,-0.7255,17.8293,353.975
601912.99,972064.52,226082.6816,-0.0005,-0.0005,-0.0006,0.3854,-0.7246,17.8303,353.995
601912.99,972064.54,226087.6767,0.0008,0.002,-0.0,0.3872,-0.7242,17.8313,354.0
601913.0,972064.54,226092.6718,0.0022,0.0003,-0.0005,0.3875,-0.7285,17.8317,354.034
601913.02,972064.54,226097.6669,0.0033,0.0006,-0.0037,0.3869,-0.7264,17.8324,353.993
601913.04,972064.55,226102.662,0.0016,0.0001,-0.0026,0.386,-0.7247,17.8334,353.971
601913.01,972064.55,226107.6572,0.002,-0.0025,-0.002,0.3895,-0.7164,17.8342,353.993
601913.02,972064.53,226112.6523,0.0015,-0.0004,-0.0013,0.384,-0.7249,17.8333,353.987
601913.02,972064.54,226117.6474,0.0002,0.0016,0.0013,0.3865,-0.7264,17.8358,354.033
601913.0,972064.56,226122.6425,-0.0012,0.0006,0.0008,0.3866,-0.726,17.8368,354.084
601913.0,972064.57,226127.6376,0.0005,0.0009,-0.0013,0.3879,-0.727,17.8364,354.066
601913.0,972064.57,226132.6327,0.0007,-0.0,-0.0015,0.3867,-0.7265,17.8374,354.046
601913.02,972064.58,226137.6278,0.0015,0.0014,0.0009,0.3882,-0.7286,17.8364,354.051
601913.01,972064.61,226142.6229,0.0008,0.0001,-0.0008,0.3874,-0.7274,17.8386,354.109
601913.02,972064.6,226147.618,0.0024,-0.0002,-0.0132,0.3881,-0.7281,17.8391,353.979
601913.05,972064.61,226152.6131,0.0012,0.001,-0.0072,0.3872,-0.728,17.8408,353.811
601913.05,972064.59,226157.6082,0.0002,-0.0009,0.0016,0.387,-0.7286,17.8418,353.788
601913.01,972064.6,226162.6034,-0.0001,-0.0006,0.0033,0.3873,-0.7284,17.8419,353.918
601913.01,972064.61,226167.5985,0.0014,0.0003,-0.0041,0.3871,-0.7288,17.8416,353.913
601913.01,972064.63,226172.5936,-0.0005,0.0004,-0.0014,0.3856,-0.7249,17.8437,353.873
601913.03,972064.64,226177.5887,0.0012,0.0011,0.0021,0.3866,-0.7283,17.8431,353.865
601913.02,972064.65,226182.5838,0.0013,0.0001,0.0027,0.3864,-0.7295,17.8437,353.948
