Pole Point #,Pole X,Pole Y,Nearest X,Nearest Y,Distance,Time
1.0,653104.0904,1375958.292,652968.741,1375867.515,162.97215654628346,235162.7478
2.0,652966.63,1376465.301,653005.554,1376489.296,45.725679885653875,235279.3701
3.0,652892.938,1376736.224,652870.947,1376724.227,25.05059061171879,235267.6399
4.0,652460.27,1376645.546,652516.69,1376673.763,63.08260845105047,235202.9486
5.0,652768.965,1376110.587,652817.642,1376136.998,55.38042298497169,235176.098
6.0,652731.773,1376254.481,652749.006,1376263.951,19.663600611274823,235182.3382
7.0,652653.558,1376549.902,652600.913,1376522.596,59.305258291380476,235195.4784
8.0,652573.515,1376601.718,652560.181,1376594.066,15.373635224008437,235198.9585
9.0,652480.534,1376849.836,652432.03,1376820.863,56.4984313498679,235210.4637
10.0,652988.778,1376123.138,652870.327,1376053.5,137.404841417634,235171.7529
11.0,652897.026,1376473.315,652985.908,1376523.072,101.8615186074508,235277.6451
14.0,653531.695,1375567.082,653528.162,1375564.941,4.131097916876978,235325.8161
15.0,653334.661,1375886.783,653343.839,1375892.386,10.753106202398458,235309.6558
16.0,652877.444,1375763.374,652989.651,1375835.098,133.1718552284064,235160.9577
17.0,653864.196,1375596.156,653893.159,1375612.429,33.22146742696366,235390.9974
18.0,653565.941,1376090.732,653605.155,1376113.969,45.5817503503453,235416.2279
19.0,653165.101,1376459.8,653058.51,1376399.633,122.39979236101297,235284.0752
20.0,652831.767,1376371.137,652722.796,1376310.318,124.79434923914053,235184.7832
21.0,653189.703,1375341.615,653252.372,1375372.72,69.96373765028667,235137.6172
24.0,652728.069,1376485.748,652649.631,1376436.973,92.36623013301728,235191.2733
25.0,652810.527,1376030.406,652864.551,1376063.239,63.21865598859239,235172.253
29.0,653520.76,1376050.14,653611.839,1376102.471,105.0424571399846,235415.6279
30.0,653141.784,1376347.634,653101.234,1376324.799,46.53750879658938,235287.6953
31.0,652890.697,1376283.431,652772.782,1376219.584,134.09096402821984,235180.0031
33.0,653468.084,1375994.196,653329.325,1375916.294,159.13133470508566,235308.3657
34.0,653126.616,1376250.272,653139.478,1376256.963,14.49829386505252,235291.1604
