1,1375867.515,652968.741,0.0,01;19;22 PM
2,1376489.296,653005.554,0.0,01;21;19 PM
3,1376724.227,652870.947,0.0,01;21;07 PM
4,1376673.763,652516.69,0.0,01;20;02 PM
5,1376136.998,652817.642,0.0,01;19;36 PM
6,1376263.951,652749.006,0.0,01;19;42 PM
7,1376522.596,652600.913,0.0,01;19;55 PM
8,1376594.066,652560.181,0.0,01;19;58 PM
9,1376820.863,652432.03,0.0,01;20;10 PM
10,1376053.5,652870.327,0.0,01;19;31 PM
11,1376523.072,652985.908,0.0,01;21;17 PM
14,1375564.941,653528.162,0.0,01;22;05 PM
15,1375892.386,653343.839,0.0,01;21;49 PM
16,1375835.098,652989.651,0.0,01;19;20 PM
17,1375612.429,653893.159,0.0,01;23;10 PM
18,1376113.969,653605.155,0.0,01;23;36 PM
19,1376399.633,653058.51,0.0,01;21;24 PM
20,1376310.318,652722.796,0.0,01;19;44 PM
21,1375372.72,653252.372,0.0,01;18;57 PM
24,1376436.973,652649.631,0.0,01;19;51 PM
25,1376063.239,652864.551,0.0,01;19;32 PM
29,1376102.471,653611.839,0.0,01;23;35 PM
30,1376324.799,653101.234,0.0,01;21;27 PM
31,1376219.584,652772.782,0.0,01;19;40 PM
33,1375916.294,653329.325,0.0,01;21;48 PM
34,1376256.963,653139.478,0.0,01;21;31 PM
