152000,1376489.296,653005.554,0.0,01;21;19 PM
152001,1376724.227,652870.947,0.0,01;21;07 PM
152002,1376673.763,652516.69,0.0,01;20;02 PM
152003,1376136.998,652817.642,0.0,01;19;36 PM
152004,1376263.951,652749.006,0.0,01;19;42 PM
152005,1376522.596,652600.913,0.0,01;19;55 PM
152006,1376594.066,652560.181,0.0,01;19;58 PM
152007,1376820.863,652432.03,0.0,01;20;10 PM
152008,1376053.5,652870.327,0.0,01;19;31 PM
152009,1376523.072,652985.908,0.0,01;21;17 PM
152010,1375564.941,653528.162,0.0,01;22;05 PM
152011,1375892.386,653343.839,0.0,01;21;49 PM
152012,1375835.098,652989.651,0.0,01;19;20 PM
152013,1375612.429,653893.159,0.0,01;23;10 PM
152014,1376113.969,653605.155,0.0,01;23;36 PM
152015,1376399.633,653058.51,0.0,01;21;24 PM
152016,1376310.318,652722.796,0.0,01;19;44 PM
152017,1375372.72,653252.372,0.0,01;18;57 PM
152018,1375860.879,652973.128,0.0,01;19;22 PM
152019,1376436.973,652649.631,0.0,01;19;51 PM
152020,1376063.239,652864.551,0.0,01;19;32 PM
152021,1375871.587,652965.946,0.0,01;19;22 PM
152022,1376102.471,653611.839,0.0,01;23;35 PM
152023,1376324.799,653101.234,0.0,01;21;27 PM
152024,1376219.584,652772.782,0.0,01;19;40 PM
152025,1375916.294,653329.325,0.0,01;21;48 PM
152026,1376256.963,653139.478,0.0,01;21;31 PM
