point number,northing,easting,elevation,time_x,formatted_time,out,speed,dir
152000,934143.73,576426.71,0.0,11;31;37 AM,11:31 AM,81.5,2.0,SW
152001,934164.37,576429.77,0.0,11;31;37 AM,11:31 AM,81.5,2.0,SW
152007,933358.9,576316.55,0.0,11;31;29 AM,11:31 AM,81.5,2.0,SW
152008,933158.5,576291.69,0.0,11;31;27 AM,11:31 AM,81.5,2.0,SW
152009,932965.84,576268.8,0.0,11;31;25 AM,11:31 AM,81.5,2.0,SW
152019,931040.11,576096.88,0.0,11;31;04 AM,11:31 AM,81.5,2.0,SW
152020,930893.66,576079.97,0.0,11;31;02 AM,11:31 AM,81.5,2.0,SW
152022,930691.04,576058.27,0.0,11;31;00 AM,11:31 AM,81.5,2.0,SW
152132,934280.55,576446.76,0.0,11;31;39 AM,11:31 AM,81.5,2.0,SW
152002,934055.37,576167.77,0.0,11;21;20 AM,11:21 AM,80.5,3.0,SSW
152003,934029.76,576177.0,0.0,11;21;20 AM,11:21 AM,80.5,3.0,SSW
152010,932794.2,576576.44,0.0,11;21;36 AM,11:21 AM,80.5,3.0,SSW
152004,933795.62,576091.06,0.0,11;17;26 AM,11:17 AM,80.0,2.0,NE
152005,933802.95,576099.53,0.0,11;17;26 AM,11:17 AM,80.0,2.0,NE
152006,933722.25,576006.86,0.0,11;17;27 AM,11:17 AM,80.0,2.0,NE
152011,932614.53,576281.03,0.0,11;33;57 AM,11:33 AM,81.7,2.0,WSW
152012,932490.19,576329.17,0.0,11;33;58 AM,11:33 AM,81.7,2.0,WSW
152013,932293.2,576406.97,0.0,11;34;01 AM,11:34 AM,81.8,5.0,WSW
152014,932142.71,576466.26,0.0,11;34;03 AM,11:34 AM,81.8,5.0,WSW
152015,931652.72,576475.14,0.0,11;24;27 AM,11:24 AM,80.9,2.0,SW
152016,931442.36,576444.73,0.0,11;24;30 AM,11:24 AM,80.9,2.0,SW
152017,931224.67,576417.79,0.0,11;24;32 AM,11:24 AM,80.9,2.0,SW
152018,930997.99,576399.91,0.0,11;24;35 AM,11:24 AM,80.9,2.0,SW
152021,930846.22,576395.84,0.0,11;24;37 AM,11:24 AM,80.9,2.0,SW
152025,930501.08,576397.51,0.0,11;24;40 AM,11:24 AM,80.9,2.0,SW
152030,929316.93,576279.26,0.0,11;24;54 AM,11:24 AM,80.9,2.0,SW
152031,929094.65,576248.96,0.0,11;24;57 AM,11:24 AM,80.9,2.0,SW
152032,928866.32,576220.84,0.0,11;24;59 AM,11:24 AM,80.9,2.0,SW
152023,930590.19,576047.82,0.0,11;30;59 AM,11:30 AM,81.4,3.0,W
152024,930509.43,576039.18,0.0,11;30;58 AM,11:30 AM,81.4,3.0,W
152026,930272.64,576015.14,0.0,11;30;55 AM,11:30 AM,81.4,3.0,W
152027,930040.45,575989.56,0.0,11;30;53 AM,11:30 AM,81.4,3.0,W
152028,929814.46,575961.32,0.0,11;30;50 AM,11:30 AM,81.4,3.0,W
152029,929593.53,575932.56,0.0,11;30;48 AM,11:30 AM,81.4,3.0,W
152037,927787.79,575765.56,0.0,11;30;28 AM,11:30 AM,81.4,3.0,W
152038,927567.14,575752.17,0.0,11;30;25 AM,11:30 AM,81.4,3.0,W
152039,927347.51,575732.04,0.0,11;30;23 AM,11:30 AM,81.4,3.0,W
152040,927097.25,575701.78,0.0,11;30;20 AM,11:30 AM,81.4,3.0,W
152041,926877.66,575673.27,0.0,11;30;18 AM,11:30 AM,81.4,3.0,W
152042,926653.38,575647.41,0.0,11;30;15 AM,11:30 AM,81.4,3.0,W
152043,926413.6,575627.78,0.0,11;30;12 AM,11:30 AM,81.4,3.0,W
152044,926178.23,575619.57,0.0,11;30;10 AM,11:30 AM,81.4,3.0,W
152045,925941.33,575613.97,0.0,11;30;07 AM,11:30 AM,81.4,3.0,W
152046,925723.84,575604.2,0.0,11;30;05 AM,11:30 AM,81.4,3.0,W
152047,925517.19,575583.61,0.0,11;30;02 AM,11:30 AM,81.4,3.0,W
152048,925308.66,575557.04,0.0,11;30;00 AM,11:30 AM,81.4,3.0,W
152033,928646.47,576196.09,0.0,11;25;02 AM,11:25 AM,81.0,2.0,WSW
152034,928422.94,576175.88,0.0,11;25;04 AM,11:25 AM,81.0,2.0,WSW
152035,928196.58,576159.91,0.0,11;25;07 AM,11:25 AM,81.0,2.0,WSW
152036,927976.65,576148.18,0.0,11;25;09 AM,11:25 AM,81.0,2.0,WSW
152049,925088.25,575529.43,0.0,11;29;57 AM,11:29 AM,81.3,2.0,SW
152050,924963.54,575516.92,0.0,11;29;56 AM,11:29 AM,81.3,2.0,SW
152051,924751.12,575497.71,0.0,11;29;54 AM,11:29 AM,81.3,2.0,SW
152052,924584.5,575481.12,0.0,11;29;52 AM,11:29 AM,81.3,2.0,SW
152053,924359.27,575457.66,0.0,11;29;49 AM,11:29 AM,81.3,2.0,SW
152054,924116.03,575435.89,0.0,11;29;46 AM,11:29 AM,81.3,2.0,SW
152055,923890.71,575418.53,0.0,11;29;44 AM,11:29 AM,81.3,2.0,SW
152056,923651.52,575395.88,0.0,11;29;41 AM,11:29 AM,81.3,2.0,SW
152057,923462.36,575377.37,0.0,11;29;39 AM,11:29 AM,81.3,2.0,SW
152058,923239.05,575354.55,0.0,11;29;36 AM,11:29 AM,81.3,2.0,SW
152059,923020.07,575326.85,0.0,11;29;34 AM,11:29 AM,81.3,2.0,SW
152060,922809.59,575288.17,0.0,11;29;32 AM,11:29 AM,81.3,2.0,SW
